,id,Created at,Screen Name,Tweet Text,Subject
40,1322424344149217280,Sat Oct 31 06:25:07 +0000 2020,dmfist,"RT @AnnieGabstonH: @LindseyGrahamSC @harrisonjaime Lindsey, are you sure you want to attract attention to this?  73% of the nation thinks y…",Trump
41,1322424343331282945,Sat Oct 31 06:25:07 +0000 2020,gator68xrp,Graham shares newly declassified FBI docs showing 'clear' bias toward Trump https://t.co/9C1DKntqsS via @YouTube,Trump
42,1322424343004151808,Sat Oct 31 06:25:07 +0000 2020,G0ldenEbony,RT @thotimus_primee: Amanda Seales is DRAGGING these trump supporting rappers https://t.co/J20TeBUlZi,Trump
43,1322424342983168001,Sat Oct 31 06:25:07 +0000 2020,Emerald8001,"RT @TrumpWarRoom: President Trump “is actually one of the most pro-LGBT presidents we’ve ever had,” says one California voter.

President T…",Trump
45,1322424342777614336,Sat Oct 31 06:25:07 +0000 2020,muggles992,@dravoirdupois @IlhanMN Two Faced trump for PRISON 2020!!!,Trump
46,1322424342630690821,Sat Oct 31 06:25:07 +0000 2020,TLDRJones,RT @alexkotch: 1 of the 2 judges who made the 11th-hour change in Minnesota—requiring ballots to ARRIVE at elections boards by Election Day…,Trump
47,1322424342244847618,Sat Oct 31 06:25:07 +0000 2020,mcla007,"@mgubrud @maitelsadany @Moore_Alex01 There will be violence from the left no matter how Trump wins, fairly or unfai… https://t.co/y3yfjdCOl2",Trump
48,1322424342127411200,Sat Oct 31 06:25:07 +0000 2020,raghuAZPoliMaps,@ECaliberSeven Ya and imagine Trump shitposting and lighting the Democratic electorate on fire ... again.,Trump
49,1322424341846523904,Sat Oct 31 06:25:07 +0000 2020,kathyrelihan0,RT @RudyMarquezJr: This is a prime example of the ignorance and delusion embedded within Trump supporters. Once they realized she was talki…,Trump
50,1322424341171109889,Sat Oct 31 06:25:07 +0000 2020,moofasa1212,RT @itsssjesenya: Just A Reminder! Pretty Girls Hate Trump! Please Vote If You Can! 💗✨ https://t.co/OV059DFmKt,Trump
51,1322424340911185925,Sat Oct 31 06:25:06 +0000 2020,stuzzy237,@ColumbiaBugle @Cernovich These fuckers just cannot tell the truth .....and the Hosts just let him BS on there show… https://t.co/l16F9FpkP0,Trump
52,1322424340177063938,Sat Oct 31 06:25:06 +0000 2020,AZGOP,"RT @nguyenthevote: trump has surpassed biden in the rcp average of arizona for the first time since march 6

he now leads by 0.6%, a sharp…",Trump
53,1322424340160413698,Sat Oct 31 06:25:06 +0000 2020,HKers721,"RT @TrumpWarRoom: Lil Wayne backs Trump: ‘He will and can get it done’
https://t.co/5XlBwZosEJ",Trump
55,1322424339522818048,Sat Oct 31 06:25:06 +0000 2020,AndiBaerwalde,"RT @maiamimi: Now for all you night owls: 

Do NOT mail your ballot. It is too late &amp; won’t arrive in time to be counted. We need every vot…",Trump
56,1322424339094999040,Sat Oct 31 06:25:06 +0000 2020,DesandroJenna,"RT @donwinslow: NEW VIDEO! #PleaseSaveTheseChildren  

If you don't have a bright line for crimes against children you don't have a line.…",Trump
57,1322424338801459200,Sat Oct 31 06:25:06 +0000 2020,916Rebel,RT @thehill: Trump may continue to campaign after Election Day if results are not finalized: report https://t.co/CNfNrtn4IU https://t.co/kl…,Trump
58,1322424337832448000,Sat Oct 31 06:25:06 +0000 2020,LuneDeLaMer2,"RT @donwinslow: NEW: #AmericaNeedsPennsylvania w/ Bruce @springsteen !  

Donald Trump arrives in Pennsylvania later today.

We need more t…",Trump
59,1322424337463447552,Sat Oct 31 06:25:06 +0000 2020,LiyahCureton,"RT @literallysofie: [warning: m*rder of a Black man by police]

Kevin Peterson Jr. was shot in the back, with his hands in his pockets, by…",Trump
60,1322424337144684544,Sat Oct 31 06:25:06 +0000 2020,chrisholland55,"RT @Reuters: Madame Tussauds in Berlin loaded its wax effigy of Donald Trump into a dumpster, calling it a 'preparatory measure' ahead of t…",Trump
61,1322424336989392896,Sat Oct 31 06:25:06 +0000 2020,gocoo_59,"RT @BarbraStreisand: In a desperate &amp; pathetic attempt to find something to save his campaign, Trump has Secretary Pompeo back on “Hillary’…",Trump
62,1322424336855273472,Sat Oct 31 06:25:06 +0000 2020,NewAutismInfo,Next Trump ad. https://t.co/PZd4PeB6ZQ,Trump
63,1322424336498663424,Sat Oct 31 06:25:05 +0000 2020,gmh8899,RT @snydegrim: The lack of any more #STIMULUSPACKAGE talks should cement an election loss for #trump. I may be disabled but I used to love…,Trump
64,1322424336079310848,Sat Oct 31 06:25:05 +0000 2020,LulBrittBratt,RT @tyleahhh: If y’all really voting for Trump just cause y’all think he’s gonna do so much for y’all once he gets back in office is real s…,Trump
65,1322424336075182080,Sat Oct 31 06:25:05 +0000 2020,rbergman5,RT @JohnMTalmadgeMD: This is only the second time I have ever requested a retweet. If you agree that President Biden should restore the ran…,Trump
66,1322424335961907201,Sat Oct 31 06:25:05 +0000 2020,MMDimitrijevic,"RT @DonaldJTrumpJr: Wow. The Legend🇺🇸🇺🇸🇺🇸

Hockey legend Bobby Orr endorses U.S. President Trump’s re-election bid  https://t.co/mq155F6LY6",Trump
67,1322424335399673857,Sat Oct 31 06:25:05 +0000 2020,pauladrake,RT @ddale8: Trump continues to say that Minnesota should have activated the National Guard two weeks before it did during this spring's vio…,Trump
68,1322424334900748303,Sat Oct 31 06:25:05 +0000 2020,lawoman109,"RT @thehill: Michael Moore: ""Don't believe these polls... The Trump vote is always being undercounted."" https://t.co/XoqNybRjUr",Trump
69,1322424334820896768,Sat Oct 31 06:25:05 +0000 2020,Smith8241Smith,"RT @RepAdamSchiff: No country has ever recorded 100,000 positive tests in a day. We’re about to. 

Hospitalizations and deaths are rising t…",Trump
70,1322424334791704576,Sat Oct 31 06:25:05 +0000 2020,EllenMarch2,"RT @RonSteslow: .@jaredkushner and @IvankaTrump demanded we take the billboards down.

They threatened to sue @ProjectLincoln for “enormous…",Trump
71,1322424334598635520,Sat Oct 31 06:25:05 +0000 2020,AlanBigEagle7,"Actually it's not surprising, Barbara Walters once said on a 20/20 special of Trump's various nefarious group of fr… https://t.co/Ju97HcTqvj",Trump
72,1322424334003007488,Sat Oct 31 06:25:05 +0000 2020,DavidSh72709403,"RT @SlamRushPNP: FraternityX: ""TRICK OR TRUMP"" Short Clip 2/2

Look at it now in: ➡️ https://t.co/CCJLRSYLaR ⬅️ https://t.co/30fzlDnt1r",Trump
73,1322424333881511936,Sat Oct 31 06:25:05 +0000 2020,julianna1010101,RT @WordswithSteph: Light at the end of the Trump tunnel: There are under the radar Republican voters across the country who’ve never voted…,Trump
74,1322424333768208384,Sat Oct 31 06:25:05 +0000 2020,Cathiez10,@MeidasTouch Every wear Trump has his rallies. That way he and his supporters and see him.,Trump
75,1322424333147361280,Sat Oct 31 06:25:05 +0000 2020,LouLou34977347,RT @DanScavino: Hearing there are🤯🤯over at Biden campaign. Trump Train has to get out in full force—and VOTE! Do not think your vote won’t…,Trump
76,1322424332782604289,Sat Oct 31 06:25:05 +0000 2020,jjv124,@isaaccp @mtimmerhackert @Taniel Just saying there is a section of the left who saw the trump populist stuff and went..hmm ok,Trump
77,1322424332560277504,Sat Oct 31 06:25:04 +0000 2020,JimWood1369,What a gymp! https://t.co/T0AbZFcO0u,Trump
78,1322424332463837184,Sat Oct 31 06:25:04 +0000 2020,BloodPatriot2,"White pill -

Given current early voting data: 

If polling is correct about 70% of election day votes in Florida g… https://t.co/RuWR14DIUE",Trump
80,1322424331025219584,Sat Oct 31 06:25:04 +0000 2020,Gratefuljames,"RT @tomiahonen: Joe Will Fix The U.S.

In 4 days we get to fire Trump. We'll take Senate from #MoscowMitch McTurtle. The Trumpomobsters hav…",Trump
81,1322424330806947840,Sat Oct 31 06:25:04 +0000 2020,jdiaz54,RT @CREWcrew: So it looks like the president intervened to get the DOJ to go easy on a state-owned Turkish bank that the DOJ was investigat…,Trump
82,1322424330727256064,Sat Oct 31 06:25:04 +0000 2020,abqkat1,"RT @ektaka: @kylenabecker This is just embarrassing trade craft. How many times do you have to ""discover"" a smoking gun laptop with planted…",Trump
83,1322424330345541632,Sat Oct 31 06:25:04 +0000 2020,FilmsForChange,RT @Yamiche: American Medical Association is now pushing back on Trump's false claim that doctors &amp; hospitals are jacking up death tolls to…,Trump
84,1322424329858998272,Sat Oct 31 06:25:04 +0000 2020,NatAnglin,"RT @AaronBelkin: New Stanford University study estimates that 18 Trump rallies have led to 30,000 COVID cases and 700 deaths https://t.co/k…",Trump
85,1322424329787727873,Sat Oct 31 06:25:04 +0000 2020,lightngmoonking,"RT @missionkaali: In this video, this Xtian ""sadhu"" is telling the gullible white American Christians saying Donald Trump prays fervently.…",Trump
86,1322424329255161856,Sat Oct 31 06:25:04 +0000 2020,lafantome,"RT @NWPinPDX: Biden today on Trump lies: ""The president of the United States is accusing the medical profession of making up COVID deaths s…",Trump
87,1322424328990920704,Sat Oct 31 06:25:04 +0000 2020,TheDudezki,"@valerielouredaa I sincerely hope you're not one of the Trump-puppets too because you hang out with Jorge ""I love T… https://t.co/dxkr1csgEj",Trump
88,1322424328860753921,Sat Oct 31 06:25:04 +0000 2020,JuniorQuantreI,"RT @TrumpWarRoom: WATCH: Joe Biden gets angry, calls Minnesota Trump supporters ""ugly."" https://t.co/rLojZQupU5",Trump
89,1322424328839819264,Sat Oct 31 06:25:04 +0000 2020,totallty,"#VoteBlueToEndTheNightmare
There goes all the Trump supporters on November 4th. Going into the Red Light and far fa… https://t.co/qq9FMX0cpu",Trump
90,1322018652284018694,Fri Oct 30 03:33:03 +0000 2020,deemadigan,And those who defended @ScottMorrisonMP  going to Hawaii during the bushfires will no doubt have a go at… https://t.co/0wFeMVqVqU,Andrews
